date,pjm_pv_jeremy_scaled
42478.42,0.798158205
42478.46,0.798158205
42478.5,0.798158205
42478.54,0.7978238
42478.58,0.763440404
42478.62,0.69317004
42478.67,0.571656958
42478.71,0.329845158
42478.75,0
42478.79,0
42478.83,0
42478.87,0
42478.92,0
42478.96,0
42479,0
42479.04,0
42479.08,0
42479.12,0
42479.17,0
42479.21,0.257650092
42479.25,0.55491985
42479.29,0.697162955
42479.33,0.773927414
42479.37,0.798158205
42479.42,0.798158205
42479.46,0.798158205
42479.5,0.798158205
42479.54,0.797664498
42479.58,0.763871548
42479.62,0.690933442
42479.67,0.564460278
42479.71,0.313097678
42479.75,0
42479.79,0
42479.83,0
42479.87,0
42479.92,0
42479.96,0
42480,0
42480.04,0
42480.08,0
42480.12,0
42480.17,0
42480.21,0.167175461
42480.25,0.409982439
42480.29,0.530236002
42480.33,0.633486305
42480.37,0.696150793
42480.42,0.670698301
42480.46,0.666711959
42480.5,0.645022422
42480.54,0.62257313
42480.58,0.598566616
42480.62,0.592769243
42480.67,0.509182908
42480.71,0.332839247
42480.75,0
42480.79,0
42480.83,0
42480.87,0
42480.92,0
42480.96,0
42481,0
42481.04,0
42481.08,0
42481.12,0
42481.17,0
42481.21,0.32406966
42481.25,0.605566779
42481.29,0.733800836
42481.33,0.795461771
42481.37,0.798158205
42481.42,0.798158205
42481.46,0.798158205
42481.5,0.798158205
42481.54,0.798158205
42481.58,0.754921528
42481.62,0.731345427
42481.67,0.615820786
42481.71,0.383275871
42481.75,0
42481.79,0
42481.83,0
42481.87,0
42481.92,0
42481.96,0
42482,0
42482.04,0
42482.08,0
42482.12,0
42482.17,0
42482.21,0.204114812
42482.25,0.411034282
42482.29,0.474490831
42482.33,0.527631459
42482.37,0.488771728
42482.42,0.651171178
42482.46,0.51357189
42482.5,0.555530812
42482.54,0.496332348
42482.58,0.489139093
42482.62,0.380408097
42482.67,0.201525563
42482.71,0.076849629
42482.75,0
42482.79,0
42482.83,0
42482.87,0
42482.92,0
42482.96,0
42483,0
42483.04,0
42483.08,0
42483.12,0
42483.17,0
42483.21,0.115113182
42483.25,0.279366371
42483.29,0.286663268
42483.33,0.397744612
42483.37,0.41155665
42483.42,0.421446616
42483.46,0.461546363
42483.5,0.406421983
42483.54,0.318321518
42483.58,0.275071288
42483.62,0.211651792
42483.67,0.100755011
42483.71,0.032203921
42483.75,0
42483.79,0
42483.83,0
42483.87,0
42483.92,0
42483.96,0
42484,0
42484.04,0
42484.08,0
42484.12,0
42484.17,0
42484.21,0.025758291
42484.25,0.096616403
42484.29,0.146127104
42484.33,0.231279446
42484.37,0.266893152
42484.42,0.397126844
42484.46,0.443861807
42484.5,0.580831842
42484.54,0.615942784
42484.58,0.684365148
42484.62,0.666384066
42484.67,0.565842598
42484.71,0.363320501
42484.75,0
42484.79,0
42484.83,0
42484.87,0
42484.92,0
42484.96,0
42485,0
42485.04,0
42485.08,0
42485.12,0
42485.17,0
42485.21,0.300720844
42485.25,0.558376809
42485.29,0.686039701
42485.33,0.761132604
42485.37,0.798158205
42485.42,0.798158205
42485.46,0.798158205
42485.5,0.798158205
42485.54,0.783736529
42485.58,0.775113068
42485.62,0.61917441
42485.67,0.497982417
42485.71,0.321023985
42485.75,0
42485.79,0
42485.83,0
42485.87,0
42485.92,0
42485.96,0
42486,0
42486.04,0
42486.08,0
