Date,Desert_NC
40697.08,0.652756963
40697.12,0.611993107
40697.17,0.557104624
40697.21,0.428909208
40697.25,0.160810028
40697.29,0.186708196
40697.33,0.16128146
40697.37,0.099770697
40697.42,0.037375533
40697.46,0.059203748
40697.5,0.053248434
40697.54,0.032905809
40697.58,0.020925351
40697.62,0.008667164
40697.67,0.010598231
40697.71,0.013382184
40697.75,0.100854517
40697.79,0.224864383
40697.83,0.182201408
40697.87,0.113990315
40697.92,0.014792077
40697.96,0.011016492
40698,0.003122353
40698.04,0
40698.08,0
40698.12,0
40698.17,0
40698.21,0
40698.25,0.004837238
40698.29,0.000927171
40698.33,0.006238113
40698.37,0.011271759
40698.42,0.006505224
40698.46,0.008264954
40698.5,0.012185217
40698.54,0.014500359
40698.58,0.013259241
40698.62,0.018435724
40698.67,0.013968179
40698.71,0.026123857
40698.75,0.007106674
40698.79,0
40698.83,0
40698.87,0
40698.92,0
40698.96,0
40699,0.010808585
40699.04,0.013924373
40699.08,0.003880609
40699.12,0.038485572
40699.17,0.062375317
40699.21,0.03468218
40699.25,0.004101096
40699.29,0
40699.33,0.00532712
40699.37,0
40699.42,0.003431829
40699.46,0.007197315
40699.5,0.025714786
40699.54,0.050550992
40699.58,0.159234892
40699.62,0.162703473
40699.67,0.178002647
40699.71,0.148351422
40699.75,0.129188437
40699.79,0.106642587
40699.83,0.104190895
40699.87,0.137455403
40699.92,0.165358617
40699.96,0.159156532
40700,0.090557166
40700.04,0.018216528
40700.08,0.008590116
40700.12,0.00849377
40700.17,0
40700.21,0
40700.25,0
40700.29,0
40700.33,0
40700.37,0
40700.42,0
40700.46,0.004484556
40700.5,0.017870732
40700.54,0.011578597
40700.58,0.032945552
40700.62,0.011062029
40700.67,0.050015976
40700.71,0.03934007
40700.75,0.075177402
40700.79,0.155415135
40700.83,0.161466208
40700.87,0.146380778
40700.92,0.122702329
40700.96,0.06214522
40701,0.021150854
40701.04,0.00942509
40701.08,0.003766213
40701.12,0.001159328
40701.17,0
40701.21,0
40701.25,0
40701.29,0
40701.33,0
40701.37,0
40701.42,0
