Date,Power (MW per MW installed capacity)
39124.20833,0.268676596
39124.25,0.254707072
39124.29167,0.25137836
39124.33333,0.226334323
39124.375,0.241750905
39124.41667,0.288696605
39124.45833,0.36872552
39124.5,0.463045818
39124.54167,0.452066062
39124.58333,0.463356626
39124.625,0.460508736
39124.66667,0.450891567
39124.70833,0.493208571
39124.75,0.489027835
39124.79167,0.455243372
39124.83333,0.427284189
39124.875,0.441242162
39124.91667,0.449950472
39124.95833,0.427007901
39125,0.390386083
39125.04167,0.347896467
39125.08333,0.317928054
39125.125,0.306730857
39125.16667,0.290486637
39125.20833,0.280089882
39125.25,0.277606287
39125.29167,0.249966441
39125.33333,0.211125356
39125.375,0.18657665
39125.41667,0.161949725
39125.45833,0.165700787
39125.5,0.204626489
39125.54167,0.270512667
39125.58333,0.312784931
39125.625,0.33074871
39125.66667,0.349608745
39125.70833,0.348982159
39125.75,0.3651298
39125.79167,0.355211473
39125.83333,0.374858282
39125.875,0.403380358
39125.91667,0.406890956
39125.95833,0.401923329
39126,0.40450196
39126.04167,0.400163185
39126.08333,0.406605969
39126.125,0.408712837
39126.16667,0.401790466
39126.20833,0.434977374
39126.25,0.452911062
39126.29167,0.460605645
39126.33333,0.47420251
39126.375,0.490956651
39126.41667,0.489942468
39126.45833,0.488577444
39126.5,0.491864871
39126.54167,0.503431809
39126.58333,0.523453573
39126.625,0.539370473
39126.66667,0.551504807
39126.70833,0.605544965
39126.75,0.660851655
39126.79167,0.651388072
39126.83333,0.642825401
39126.875,0.639593352
39126.91667,0.625603675
39126.95833,0.583258349
39127,0.553761095
39127.04167,0.529912833
39127.08333,0.492246457
39127.125,0.445899161
39127.16667,0.418241062
39127.20833,0.329049498
39127.25,0.245907964
39127.29167,0.169611609
39127.33333,0.08610956
39127.375,0.065012813
39127.41667,0.064898313
39127.45833,0.069624348
39127.5,0.080263105
39127.54167,0.103377049
39127.58333,0.140808763
39127.625,0.220435432
39127.66667,0.301257838
39127.70833,0.394274668
39127.75,0.435706237
39127.79167,0.426050221
39127.83333,0.370538401
39127.875,0.305819511
39127.91667,0.24867941
39127.95833,0.229904023
39128,0.222961294
39128.04167,0.199778974
39128.08333,0.178127905
39128.125,0.193752342
39128.16667,0.197377969
39128.20833,0.1769237
39128.25,0.169724517
39128.29167,0.146937986
39128.33333,0.101151401
39128.375,0.066842372
39128.41667,0.044399954
39128.45833,0.035071226
39128.5,0.0404756
39128.54167,0.059424529
39128.58333,0.091221432
39128.625,0.126314732
39128.66667,0.159771222
39128.70833,0.210948597
39128.75,0.234286553
39128.79167,0.201179769
39128.83333,0.204700827
39128.875,0.272096668
39128.91667,0.269849848
39128.95833,0.212969816
39129,0.140535102
39129.04167,0.115761065
39129.08333,0.103304924
39129.125,0.143105976
39129.16667,0.145072953
39129.20833,0.165300807
39129.25,0.215481932
39129.29167,0.225039841
39129.33333,0.13706071
39129.375,0.08856416
39129.41667,0.100049408
39129.45833,0.125571666
39129.5,0.154704359
39129.54167,0.198968605
39129.58333,0.211656565
39129.625,0.185502061
39129.66667,0.185987821
39129.70833,0.290312355
39129.75,0.391177337
39129.79167,0.458826485
39129.83333,0.549426521
39129.875,0.580928326
39129.91667,0.555678313
39129.95833,0.526530572
39130,0.449393702
39130.04167,0.412872318
39130.08333,0.364054932
39130.125,0.31622201
39130.16667,0.310989652
39130.20833,0.229588805
39130.25,0.288859319
39130.29167,0.326783516
39130.33333,0.252863246
39130.375,0.16730451
39130.41667,0.173523651
39130.45833,0.196898343
39130.5,0.216631414
39130.54167,0.211878956
39130.58333,0.208834449
39130.625,0.175358382
39130.66667,0.133012517
39130.70833,0.142441741
39130.75,0.126272515
39130.79167,0.101086888
39130.83333,0.086084298
39130.875,0.079274453
39130.91667,0.09564072
