Date,Radfords_Run_IL
39779.58,0.15471066
39779.62,0.253245148
39779.67,0.520688485
39779.71,0.758100407
39779.75,0.830585376
39779.79,0.828244214
39779.83,0.830174271
39779.87,0.745567497
39779.92,0.597037
39779.96,0.56987512
39780,0.47452706
39780.04,0.472849716
39780.08,0.517891608
39780.12,0.533459688
39780.17,0.47313787
39780.21,0.46336308
39780.25,0.448421762
39780.29,0.365563199
39780.33,0.163320653
39780.37,0.029859179
39780.42,0.01447388
39780.46,0.011197168
39780.5,0.009873153
39780.54,0.010289283
39780.58,0.011741293
39780.62,0.010442982
39780.67,0.019194233
39780.71,0.021168381
39780.75,0.017998189
39780.79,0.027977048
39780.83,0.044525676
39780.87,0.02792494
39780.92,0.010891688
39780.96,0.009954947
39781,0.007950688
39781.04,0
39781.08,0
39781.12,0.00918215
39781.17,0
39781.21,0.007741164
39781.25,0.009984124
39781.29,0.028563324
39781.33,0.039709933
39781.37,0.018808127
39781.42,0
39781.46,0
39781.5,0.005284604
39781.54,0.014603922
39781.58,0.014204961
39781.62,0.01238725
39781.67,0.0682469
39781.71,0.123463721
39781.75,0.238180388
39781.79,0.270999748
39781.83,0.240939469
39781.87,0.200321967
39781.92,0.108589441
39781.96,0.155940241
39782,0.227171138
39782.04,0.149006931
39782.08,0.080187987
39782.12,0.068688843
39782.17,0.136737033
39782.21,0.155078868
39782.25,0.173152391
39782.29,0.195042678
39782.33,0.142670184
39782.37,0.064558257
39782.42,0.023106857
39782.46,0.010673518
39782.5,0.015513112
39782.54,0.014876792
39782.58,0.010913715
39782.62,0.016680785
39782.67,0.104638709
39782.71,0.34416797
39782.75,0.405578208
39782.79,0.536762526
39782.83,0.577026815
39782.87,0.568089776
39782.92,0.61019205
39782.96,0.666274974
39783,0.63203431
39783.04,0.640939593
39783.08,0.734990812
39783.12,0.728447496
39783.17,0.720798509
39783.21,0.78983676
39783.25,0.722378012
39783.29,0.714549223
39783.33,0.760665385
39783.37,0.765785658
39783.42,0.743221652
39783.46,0.675771212
39783.5,0.637143977
39783.54,0.621668034
39783.58,0.672013127
39783.62,0.662653294
39783.67,0.557817238
39783.71,0.575127962
39783.75,0.736658503
39783.79,0.603811995
39783.83,0.544860659
39783.87,0.407431623
39783.92,0.415378686
39783.96,0.366060535
39784,0.32990246
39784.04,0.295885786
39784.08,0.301403113
39784.12,0.29123034
39784.17,0.266576055
39784.21,0.281883911
39784.25,0.315926197
39784.29,0.388593656
39784.33,0.274685242
39784.37,0.087901761
39784.42,0.14881136
39784.46,0.309717119
