date,pjm_pv_jeremy_3_28
40734.83,0
40734.87,0
40734.92,0
40734.96,0
40735,0
40735.04,0
40735.08,0
40735.12,0
40735.17,0
40735.21,0.005895785
40735.25,0.073023493
40735.29,0.253486547
40735.33,0.442574811
40735.37,0.570874445
40735.42,0.69627268
40735.46,0.752079108
40735.5,0.75561182
40735.54,0.725458413
40735.58,0.655772436
40735.62,0.452516145
40735.67,0.392107872
40735.71,0.249626989
40735.75,0.095567868
40735.79,0.024947575
40735.83,0
40735.87,0
40735.92,0
40735.96,0
40736,0
40736.04,0
40736.08,0
40736.12,0
40736.17,0
40736.21,0.006322591
40736.25,0.064943775
40736.29,0.220875598
40736.33,0.420962797
40736.37,0.56705856
40736.42,0.639057103
40736.46,0.748857774
40736.5,0.763579881
40736.54,0.769025874
40736.58,0.722684086
40736.62,0.635494154
40736.67,0.502200903
40736.71,0.325407276
40736.75,0.12999264
40736.79,0.028130711
40736.83,0
40736.87,0
40736.92,0
40736.96,0
40737,0
40737.04,0
40737.08,0
40737.12,0
40737.17,0
40737.21,0.005751633
40737.25,0.065785527
40737.29,0.217833466
40737.33,0.370287227
40737.37,0.310685384
40737.42,0.405192
40737.46,0.52805635
40737.5,0.465449961
40737.54,0.438138927
40737.58,0.442436044
40737.62,0.443960511
40737.67,0.396750014
40737.71,0.294468167
40737.75,0.132248553
40737.79,0.02676951
40737.83,0
40737.87,0
40737.92,0
40737.96,0
40738,0
40738.04,0
40738.08,0
40738.12,0
40738.17,0
40738.21,0.004870504
40738.25,0.05902483
40738.29,0.264552713
40738.33,0.4807381
40738.37,0.63808924
40738.42,0.749496552
40738.46,0.804959715
40738.5,0.813339267
40738.54,0.798301679
40738.58,0.751393561
40738.62,0.650526795
40738.67,0.49592117
40738.71,0.332981926
40738.75,0.130099264
40738.79,0.0267856
40738.83,0
40738.87,0
40738.92,0
40738.96,0
40739,0
40739.04,0
40739.08,0
40739.12,0
40739.17,0
40739.21,0.004631641
40739.25,0.0651343
40739.29,0.24512052
40739.33,0.45499265
40739.37,0.587585526
40739.42,0.641723924
40739.46,0.752185971
40739.5,0.58723636
40739.54,0.702218
40739.58,0.646622138
40739.62,0.568928558
40739.67,0.495282773
40739.71,0.330610282
40739.75,0.135154328
40739.79,0.027210989
40739.83,0
40739.87,0
40739.92,0
40739.96,0
40740,0
40740.04,0
40740.08,0
40740.12,0
40740.17,0
40740.21,0.004407033
40740.25,0.063212431
40740.29,0.25411635
40740.33,0.451622217
40740.37,0.62580268
40740.42,0.728292618
40740.46,0.784705972
40740.5,0.804380088
40740.54,0.791828397
40740.58,0.746829909
40740.62,0.643529955
40740.67,0.509316383
40740.71,0.323415727
40740.75,0.13251587
40740.79,0.026353578
40740.83,0
40740.87,0
40740.92,0
40740.96,0
40741,0
40741.04,0
40741.08,0
40741.12,0
40741.17,0
40741.21,0.003194235
40741.25,0.061618848
40741.29,0.258928324
40741.33,0.460558613
40741.37,0.616799552
40741.42,0.668801331
40741.46,0.719650787
40741.5,0.738854459
40741.54,0.720928564
40741.58,0.69935106
40741.62,0.642055658
40741.67,0.45717337
40741.71,0.329152544
40741.75,0.12687154
40741.79,0.027183445
40741.83,0
40741.87,0
40741.92,0
40741.96,0
40742,0
40742.04,0
40742.08,0
40742.12,0
40742.17,0
40742.21,0.002654035
40742.25,0.064325528
40742.29,0.235388745
40742.33,0.386165145
40742.37,0.553776906
40742.42,0.657210336
40742.46,0.739008883
40742.5,0.714005551
40742.54,0.700540723
40742.58,0.593865692
40742.62,0.510935545
40742.67,0.447237905
40742.71,0.201023368
40742.75,0.08751069
40742.79,0.018277257
40742.83,0
40742.87,0
40742.92,0
40742.96,0
40743,0
40743.04,0
40743.08,0
40743.12,0
40743.17,0
40743.21,0.001172231
40743.25,0.062568123
40743.29,0.192485657
40743.33,0.373358949
40743.37,0.469251986
40743.42,0.57236954
40743.46,0.620712763
40743.5,0.616061646
40743.54,0.50407072
40743.58,0.461221114
40743.62,0.426158261
40743.67,0.428349245
40743.71,0.218525333
40743.75,0.099548054
40743.79,0.020195896
40743.83,0
40743.87,0
40743.92,0
40743.96,0
40744,0
40744.04,0
40744.08,0
40744.12,0
40744.17,0
