Date,PJM Load (MW)
38760.83,106955.2884
38760.87,105717.2564
38760.92,102717.7977
38760.96,97968.44148
38761,93310.42682
38761.04,89663.11516
38761.08,88323.51874
38761.12,88082.66444
38761.17,88845.52361
38761.21,91495.59358
38761.25,97512.94977
38761.29,107524.4432
38761.33,113105.5936
38761.37,113281.017
38761.42,112025.8072
38761.46,111015.723
38761.5,109747.5815
38761.54,108135.7635
38761.58,106606.2657
38761.62,105088.9637
38761.67,104054.6889
38761.71,105174.6061
38761.75,109261.6919
38761.79,115618.9508
38761.83,116422.2369
38761.87,114592.6154
38761.92,110646.0736
38761.96,103914.948
38762,96807.91575
38762.04,92176.97749
38762.08,89723.34883
38762.12,88851.91892
38762.17,88972.84023
38762.21,91109.65844
38762.25,97123.99449
38762.29,107586.6658
38762.33,112421.7224
38762.37,110429.6742
38762.42,107671.8582
38762.46,105282.6206
38762.5,102837.2021
38762.54,100657.1265
38762.58,98960.09268
38762.62,97072.12298
38762.67,95674.84746
38762.71,95911.0633
38762.75,99168.6249
38762.79,105546.0363
38762.83,106870.6096
38762.87,105491.794
38762.92,102455.968
38762.96,96454.37351
38763,89796.20158
38763.04,85244.61471
38763.08,83352.53599
38763.12,82588.89269
38763.17,82703.32062
38763.21,84918.445
38763.25,90942.65207
38763.29,101646.1068
38763.33,106326.6383
38763.37,104648.2668
38763.42,101998.2075
38763.46,100189.0045
38763.5,98023.25321
38763.54,95919.64155
38763.58,94481.08123
38763.62,93141.28413
38763.67,92260.69617
38763.71,93125.28672
38763.75,96822.3822
38763.79,102657.1066
38763.83,103398.4183
38763.87,101673.7447
38763.92,98357.98749
38763.96,92329.29862
38764,85512.86289
38764.04,80731.53665
38764.08,78231.72083
38764.12,77221.58422
38764.17,77341.56742
38764.21,78977.83044
38764.25,85052.81182
38764.29,95663.5818
38764.33,101110.977
38764.37,100333.3824
38764.42,98492.675
38764.46,97399.9437
38764.5,96034.84106
38764.54,94650.3905
38764.58,93685.30412
38764.62,92715.25625
38764.67,92028.77766
38764.71,92772.85534
38764.75,95424.0812
38764.79,100244.3633
38764.83,100333.4833
38764.87,98325.39841
38764.92,94694.98425
38764.96,88506.56044
38765,81882.79577
38765.04,76712.14393
38765.08,73979.8435
38765.12,72852.53941
38765.17,73175.54504
38765.21,74565.00719
38765.25,79983.28765
38765.29,90073.00458
38765.33,96720.33562
38765.37,98344.00885
38765.42,98920.33768
38765.46,99127.549
38765.5,98658.47481
38765.54,97526.82247
38765.58,96852.93991
38765.62,95811.27294
38765.67,94862.80606
38765.71,95602.33188
38765.75,98725.12196
38765.79,103923.0988
38765.83,104289.3114
38765.87,102937.8253
38765.92,100442.451
38765.96,96132.7335
38766,90397.66062
38766.04,85891.45277
38766.08,83047.63818
38766.12,81896.49412
38766.17,81651.85095
38766.21,82596.72998
38766.25,84599.84634
38766.29,88910.25149
38766.33,93840.83438
38766.37,98904.9289
38766.42,103176.9383
38766.46,104964.746
38766.5,104811.2736
38766.54,103249.6301
38766.58,101398.1131
38766.62,99644.65199
38766.67,98613.20792
38766.71,99337.09314
38766.75,102792.4463
38766.79,109567.7838
38766.83,111549.194
38766.87,110928.4262
