Date,Waymart_PA
39650.17,0.086859524
39650.21,0.097369549
39650.25,0.067620499
39650.29,0.057139235
39650.33,0.094355961
39650.37,0.140362053
39650.42,0.130005248
39650.46,0.073655213
39650.5,0.058007188
39650.54,0.082838409
39650.58,0.076824189
39650.62,0.02260314
39650.67,0.010055517
39650.71,0.009257795
39650.75,0.004428523
39650.79,0
39650.83,0
39650.87,0
39650.92,0
39650.96,0
39651,0
39651.04,0
39651.08,0
39651.12,0
39651.17,0
39651.21,0
39651.25,0
39651.29,0
39651.33,0
39651.37,0.001294671
39651.42,0.012239666
39651.46,0.031487222
39651.5,0.300586711
39651.54,0.266721967
39651.58,0.042660383
39651.62,0.024652868
39651.67,0.009888285
39651.71,0.009880925
39651.75,0.341163984
39651.79,0.365247666
39651.83,0.014129925
39651.87,0.006884652
39651.92,0.007048164
39651.96,0.002711609
39652,0.012934315
39652.04,0.011195788
39652.08,0.010107666
39652.12,0.204632572
39652.17,0.015186718
39652.21,0.025818002
39652.25,0.005751416
39652.29,0
39652.33,0.014723497
39652.37,0.150043126
39652.42,0.221507801
39652.46,0.37272412
39652.5,0.730579367
39652.54,0.545339927
39652.58,0.527796407
39652.62,0.07125119
39652.67,0.000762588
39652.71,0.01175259
39652.75,0.004305622
39652.79,0.013060055
39652.83,0.071287538
39652.87,0.120921179
39652.92,0.01856533
39652.96,0.010480057
39653,0.009328099
39653.04,0.010600687
39653.08,0.010260184
39653.12,0.011103971
39653.17,0.008381069
39653.21,0.004464552
39653.25,0.009250472
39653.29,0.039773895
39653.33,0.056779139
39653.37,0.154152381
39653.42,0.357201046
39653.46,0.492028867
39653.5,0.433871742
39653.54,0.394440414
39653.58,0.406004627
39653.62,0.374937713
39653.67,0.176766761
39653.71,0.152564744
39653.75,0.270560941
39653.79,0.558134783
39653.83,0.446688009
39653.87,0.412520415
39653.92,0.227303037
39653.96,0.273694328
39654,0.394627377
39654.04,0.306570117
39654.08,0.360438567
39654.12,0.326710419
39654.17,0.326008284
39654.21,0.321629218
39654.25,0.203227714
39654.29,0.095469962
39654.33,0.060497477
39654.37,0.014771912
39654.42,0.009684794
39654.46,0.010587842
39654.5,0.011053975
39654.54,0.020480073
39654.58,0.031881526
39654.62,0.10773533
39654.67,0.093358806
39654.71,0.126868158
39654.75,0.13641903
39654.79,0.19893969
39654.83,0.175716636
39654.87,0.155512367
39654.92,0.188660075
39654.96,0.22641009
39655,0.316330529
39655.04,0.40761309
39655.08,0.483528761
39655.12,0.561520296
39655.17,0.603685904
39655.21,0.654415073
39655.25,0.590798374
39655.29,0.449218137
39655.33,0.275530054
39655.37,0.287749418
39655.42,0.353923423
39655.46,0.444650705
39655.5,0.509831555
39655.54,0.581738275
39655.58,0.57508976
39655.62,0.539701091
39655.67,0.499224652
39655.71,0.423668454
39655.75,0.487501636
39655.79,0.560797205
39655.83,0.208571025
39655.87,0.16189754
39655.92,0.519374848
39655.96,0.506462533
39656,0.247182305
39656.04,0.439198026
39656.08,0.434489577
39656.12,0.377887202
39656.17,0.366036815
39656.21,0.379114465
39656.25,0.282634344
39656.29,0.264859462
39656.33,0.026368255
39656.37,0.010372516
39656.42,0.026159458
39656.46,0.032621038
39656.5,0.091417815
39656.54,0.126713875
39656.58,0.218693089
39656.62,0.326675372
39656.67,0.042026257
39656.71,0.217289684
39656.75,0.259962539
39656.79,0.312920822
39656.83,0.120107486
39656.87,0.015598647
39656.92,0
39656.96,0
39657,0.006673399
39657.04,0.043199053
39657.08,0.13406846
39657.12,0.249939527
39657.17,0.241583397
39657.21,0.25172073
39657.25,0.302975569
39657.29,0.223627993
39657.33,0.135456621
39657.37,0.090567577
39657.42,0.082961317
39657.46,0.104423723
39657.5,0.114397056
39657.54,0.103762585
39657.58,0.179792035
39657.62,0.197022513
39657.67,0.380620462
39657.71,0.206901949
39657.75,0.174418499
39657.79,0.102413165
39657.83,0.037894384
39657.87,0.04927112
39657.92,0.090544183
39657.96,0.142398025
39658,0.182802641
39658.04,0.17557195
39658.08,0.14932448
39658.12,0.16878458
39658.17,0.167873248
39658.21,0.205907861
39658.25,0.159698808
39658.29,0.137553707
39658.33,0.128220416
39658.37,0.11708468
39658.42,0.142671589
39658.46,0.205843007
39658.5,0.218832205
39658.54,0.287258321
39658.58,0.149296641
39658.62,0.109775111
39658.67,0.076494339
39658.71,0.08369732
39658.75,0.066558875
39658.79,0.12694063
39658.83,0.11385547
39658.87,0.03115154
39658.92,0.009811178
39658.96,0.009032833
39659,0
39659.04,0
39659.08,0
39659.12,0
39659.17,0
39659.21,0
39659.25,0
39659.29,0
39659.33,0
39659.37,0
39659.42,0.013250051
39659.46,0.052118944
39659.5,0.116850033
39659.54,0.202616221
39659.58,0.213138434
39659.62,0.096454013
39659.67,0.094900389
39659.71,0.2629869
39659.75,0.203693134
39659.79,0.4247202
39659.83,0.289256104
39659.87,0.510572921
39659.92,0.347591753
39659.96,0.255357333
39660,0.32946027
39660.04,0.358700465
39660.08,0.435024359
39660.12,0.437611339
39660.17,0.404611102
39660.21,0.395748869
39660.25,0.33163069
39660.29,0.219605427
39660.33,0.182692143
39660.37,0.105782915
39660.42,0.050356691
39660.46,0.090350975
39660.5,0.089808329
39660.54,0.172100708
39660.58,0.341876223
39660.62,0.276892841
39660.67,0.149535372
39660.71,0.181941524
39660.75,0.048843192
39660.79,0.429073259
39660.83,0.127191022
39660.87,0.025248257
39660.92,0.010785686
39660.96,0.009931557
39661,0.013498113
39661.04,0.041353302
39661.08,0.114569209
39661.12,0.185106694
39661.17,0.228152277
39661.21,0.208064967
39661.25,0.07251079
39661.29,0.019398739
39661.33,0.057621889
39661.37,0.097160841
39661.42,0.051693378
39661.46,0.076733136
39661.5,0.136965702
39661.54,0.118600723
39661.58,0.095119479
39661.62,0.078053858
39661.67,0.061924274
39661.71,0.053234156
39661.75,0.020966398
39661.79,0.073794729
39661.83,0.018945909
39661.87,0.002461428
39661.92,0
39661.96,0.010278405
39662,0.053563145
39662.04,0.026538798
39662.08,0.040723683
39662.12,0.056859087
39662.17,0.079100447
39662.21,0.014350391
39662.25,0
39662.29,0
39662.33,0
39662.37,0
39662.42,0.07513213
39662.46,0.232100025
39662.5,0.250304265
39662.54,0.144168476
39662.58,0
39662.62,0
39662.67,0.234636759
39662.71,0.141761974
39662.75,0.001465012
39662.79,0.111178309
39662.83,0.161320169
39662.87,0.20892494
39662.92,0.188000351
39662.96,0.311207937
39663,0.384131752
39663.04,0.398332126
39663.08,0.479912145
39663.12,0.549997362
39663.17,0.444683171
39663.21,0.469413162
39663.25,0.228109114
39663.29,0.114952322
39663.33,0.240543091
39663.37,0.346058433
39663.42,0.33085116
39663.46,0.391754748
39663.5,0.411852706
39663.54,0.432237779
39663.58,0.397650065
39663.62,0.464123273
39663.67,0.473468697
39663.71,0.385600945
39663.75,0.343407803
39663.79,0.552495894
39663.83,0.590359095
39663.87,0.605524245
39663.92,0.529727295
39663.96,0.530524161
39664,0.441523366
39664.04,0.437688926
39664.08,0.361917587
39664.12,0.319019003
39664.17,0.379569487
39664.21,0.409907065
39664.25,0.32493909
39664.29,0.203049691
39664.33,0.176550234
39664.37,0.253182981
39664.42,0.309842641
39664.46,0.296151353
39664.5,0.242005985
39664.54,0.264097038
39664.58,0.209304484
39664.62,0.23523922
39664.67,0.244770172
39664.71,0.138904237
39664.75,0.13645578
39664.79,0.285260118
39664.83,0.371217888
39664.87,0.348571305
39664.92,0.259061051
39664.96,0.15309303
39665,0.111410097
39665.04,0.117922791
39665.08,0.02657857
39665.12,0
39665.17,0.008793883
39665.21,0.008698132
39665.25,0
39665.29,0
39665.33,0
39665.37,0
39665.42,0
39665.46,0
39665.5,0
39665.54,0
39665.58,0.012721447
39665.62,0
39665.67,0.063836962
39665.71,0.061805054
39665.75,0.013144468
39665.79,0.095208859
39665.83,0.023752497
39665.87,0.006662877
39665.92,0.075310764
39665.96,0.055190359
39666,0.104242894
39666.04,0.383214913
39666.08,0.470694539
39666.12,0.395563557
39666.17,0.484172837
39666.21,0.501994149
39666.25,0.417398819
39666.29,0.3716284
39666.33,0.336870219
39666.37,0.531349028
39666.42,0.559177408
39666.46,0.693205673
39666.5,0.641143524
39666.54,0.444291143
39666.58,0.433401692
39666.62,0.496341176
39666.67,0.463376735
39666.71,0.345086939
39666.75,0.2415393
39666.79,0.360344426
39666.83,0.383118592
39666.87,0.340379486
39666.92,0.266638698
39666.96,0.274749397
39667,0.229948508
39667.04,0.304064102
39667.08,0.203228403
39667.12,0.247258568
39667.17,0.230203374
39667.21,0.206958768
39667.25,0.082497233
39667.29,0.013486721
39667.33,0.011033453
39667.37,0.037601307
39667.42,0.039811388
39667.46,0.065363234
39667.5,0.058692689
39667.54,0.050226884
39667.58,0.063814324
39667.62,0.066652799
39667.67,0.06990964
39667.71,0.220068097
39667.75,0.55344576
39667.79,0.535109537
39667.83,0.490894974
39667.87,0.229179812
39667.92,0.064077725
39667.96,0.116853519
39668,0.344628309
39668.04,0.318004684
39668.08,0.270324483
39668.12,0.229510076
39668.17,0.399513897
39668.21,0.436826686
39668.25,0.382081693
39668.29,0.268233347
39668.33,0.098231348
39668.37,0.173187224
39668.42,0.172144036
39668.46,0.221417006
39668.5,0.173871994
39668.54,0.489618689
39668.58,0.303816664
39668.62,0.476856641
39668.67,0.500381379
39668.71,0.26924332
39668.75,0.473083944
39668.79,0.647202224
39668.83,0.631903038
39668.87,0.537621037
39668.92,0.584011759
39668.96,0.576956907
39669,0.592517598
39669.04,0.57190441
39669.08,0.470254695
39669.12,0.421921263
39669.17,0.462163626
39669.21,0.468651537
39669.25,0.394783783
39669.29,0.254600397
39669.33,0.172896629
39669.37,0.101323859
39669.42,0.036278727
39669.46,0.027007273
39669.5,0.017906913
39669.54,0.015103753
39669.58,0.006005359
39669.62,0.035114524
39669.67,0.011096642
39669.71,0.044155494
39669.75,0.106877682
39669.79,0.165967228
39669.83,0.06453506
39669.87,0.07001263
39669.92,0.062738335
39669.96,0.059329301
39670,0.108511356
39670.04,0.06342008
39670.08,0.114820816
39670.12,0.203899316
39670.17,0.214366847
39670.21,0.215897625
39670.25,0.001764714
39670.29,0
39670.33,0
39670.37,0.010964496
39670.42,0.003045018
39670.46,0.003429657
39670.5,0.001995797
39670.54,0.126293783
39670.58,0.015711547
39670.62,0.254094521
39670.67,0.238147061
39670.71,0.021038015
