Date,year,month,weekend
19352,1952,12,0
19353,1952,12,0
19354,1952,12,0
19355,1952,12,1
19356,1952,12,1
19357,1952,12,0
19358,1952,12,0
19359,1952,12,0
19360,1953,1,0
19361,1953,1,0
19362,1953,1,1
19363,1953,1,1
19364,1953,1,0
19365,1953,1,0
19366,1953,1,0
19367,1953,1,0
19368,1953,1,0
19369,1953,1,1
19370,1953,1,1
19371,1953,1,0
19372,1953,1,0
19373,1953,1,0
19374,1953,1,0
19375,1953,1,0
19376,1953,1,1
19377,1953,1,1
19378,1953,1,0
19379,1953,1,0
19380,1953,1,0
19381,1953,1,0
19382,1953,1,0
19383,1953,1,1
19384,1953,1,1
19385,1953,1,0
19386,1953,1,0
19387,1953,1,0
19388,1953,1,0
19389,1953,1,0
19390,1953,1,1
19391,1953,2,1
19392,1953,2,0
19393,1953,2,0
19394,1953,2,0
19395,1953,2,0
19396,1953,2,0
19397,1953,2,1
19398,1953,2,1
19399,1953,2,0
19400,1953,2,0
19401,1953,2,0
19402,1953,2,0
19403,1953,2,0
19404,1953,2,1
19405,1953,2,1
19406,1953,2,0
19407,1953,2,0
19408,1953,2,0
19409,1953,2,0
19410,1953,2,0
19411,1953,2,1
19412,1953,2,1
19413,1953,2,0
19414,1953,2,0
19415,1953,2,0
19416,1953,2,0
19417,1953,2,0
19418,1953,2,1
19419,1953,3,1
19420,1953,3,0
19421,1953,3,0
19422,1953,3,0
19423,1953,3,0
19424,1953,3,0
19425,1953,3,1
19426,1953,3,1
19427,1953,3,0
19428,1953,3,0
19429,1953,3,0
19430,1953,3,0
19431,1953,3,0
19432,1953,3,1
19433,1953,3,1
19434,1953,3,0
19435,1953,3,0
19436,1953,3,0
19437,1953,3,0
19438,1953,3,0
19439,1953,3,1
19440,1953,3,1
19441,1953,3,0
19442,1953,3,0
19443,1953,3,0
19444,1953,3,0
19445,1953,3,0
19446,1953,3,1
19447,1953,3,1
19448,1953,3,0
19449,1953,3,0
19450,1953,4,0
19451,1953,4,0
19452,1953,4,0
19453,1953,4,1
19454,1953,4,1
19455,1953,4,0
19456,1953,4,0
19457,1953,4,0
19458,1953,4,0
19459,1953,4,0
19460,1953,4,1
19461,1953,4,1
19462,1953,4,0
19463,1953,4,0
19464,1953,4,0
19465,1953,4,0
19466,1953,4,0
19467,1953,4,1
19468,1953,4,1
19469,1953,4,0
19470,1953,4,0
19471,1953,4,0
19472,1953,4,0
19473,1953,4,0
19474,1953,4,1
19475,1953,4,1
19476,1953,4,0
19477,1953,4,0
19478,1953,4,0
19479,1953,4,0
19480,1953,5,0
19481,1953,5,1
19482,1953,5,1
19483,1953,5,0
19484,1953,5,0
19485,1953,5,0
19486,1953,5,0
19487,1953,5,0
19488,1953,5,1
19489,1953,5,1
19490,1953,5,0
19491,1953,5,0
19492,1953,5,0
19493,1953,5,0
19494,1953,5,0
19495,1953,5,1
19496,1953,5,1
19497,1953,5,0
19498,1953,5,0
19499,1953,5,0
19500,1953,5,0
19501,1953,5,0
19502,1953,5,1
19503,1953,5,1
19504,1953,5,0
19505,1953,5,0
19506,1953,5,0
19507,1953,5,0
19508,1953,5,0
19509,1953,5,1
19510,1953,5,1
19511,1953,6,0
19512,1953,6,0
19513,1953,6,0
19514,1953,6,0
19515,1953,6,0
19516,1953,6,1
19517,1953,6,1
19518,1953,6,0
19519,1953,6,0
19520,1953,6,0
19521,1953,6,0
19522,1953,6,0
19523,1953,6,1
19524,1953,6,1
19525,1953,6,0
19526,1953,6,0
19527,1953,6,0
19528,1953,6,0
19529,1953,6,0
19530,1953,6,1
19531,1953,6,1
19532,1953,6,0
19533,1953,6,0
19534,1953,6,0
19535,1953,6,0
19536,1953,6,0
19537,1953,6,1
19538,1953,6,1
19539,1953,6,0
19540,1953,6,0
19541,1953,7,0
19542,1953,7,0
19543,1953,7,0
19544,1953,7,1
19545,1953,7,1
19546,1953,7,0
19547,1953,7,0
19548,1953,7,0
19549,1953,7,0
19550,1953,7,0
19551,1953,7,1
19552,1953,7,1
19553,1953,7,0
19554,1953,7,0
19555,1953,7,0
19556,1953,7,0
19557,1953,7,0
19558,1953,7,1
19559,1953,7,1
19560,1953,7,0
19561,1953,7,0
19562,1953,7,0
19563,1953,7,0
19564,1953,7,0
19565,1953,7,1
19566,1953,7,1
19567,1953,7,0
19568,1953,7,0
19569,1953,7,0
19570,1953,7,0
19571,1953,7,0
19572,1953,8,1
19573,1953,8,1
19574,1953,8,0
19575,1953,8,0
19576,1953,8,0
19577,1953,8,0
19578,1953,8,0
19579,1953,8,1
19580,1953,8,1
19581,1953,8,0
19582,1953,8,0
19583,1953,8,0
19584,1953,8,0
19585,1953,8,0
19586,1953,8,1
19587,1953,8,1
19588,1953,8,0
19589,1953,8,0
19590,1953,8,0
19591,1953,8,0
19592,1953,8,0
19593,1953,8,1
19594,1953,8,1
19595,1953,8,0
19596,1953,8,0
19597,1953,8,0
19598,1953,8,0
19599,1953,8,0
19600,1953,8,1
19601,1953,8,1
19602,1953,8,0
